Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
340,Natural Cycle,{2}{G},Sorcery,,Common,G,Create a 2/2 green Wolf token. Search your library for a basic land and put it onto the battlefield tapped. Shuffle.,Life feeds life.,,"Wolf,Token,Ramp",,,
341,Natural Resistance,{1}{G},Enchantment — Aura,,Common,G,Enchant creature. Enchanted creature gets +0/+1 for each land you control.,Nature provides strength to those who honor it.,,"Aura,Synergy",Creature becoming stronger as natural world thrives,"Growing, grounded",Aura/Synergy
342,Nature's Resilience,{1}{G},Instant,,Common,G,"Target creature gets +0/+3 until end of turn. If you control a land, it gains lifelink instead.",Nature protects its own.,,"Pump,Defense",,,
343,Nature's Vengeance,{1}{G}{G},Sorcery,,Mythic,G,Create X 1/1 green Aiel tokens with trample where X is the number of lands you control. Discard a card at the beginning of your end step.,The wild turns to war.,,"Aiel,Token,Trample,Ramp",,,
344,Nym Remnant,{4}{G}{G},Creature — Nym,5/5,Rare,G,"Trample. When Nym Remnant enters, put a +1/+1 counter on each other creature you control.",,Trample,Counters,Nym Remnant — Nym from the Wheel of Time,"Painterly fantasy, dramatic light",Counters
345,Ogier Elder,{3}{G}{G},Creature — Ogier Scholar,4/6,Rare,G,"Other Ogier you control get +1/+1. When Ogier Elder enters, draw a card for each Ogier you control.",,,"Ogier,Draw",Ogier Elder — Ogier Scholar from the Wheel of Time,"Painterly fantasy, dramatic light",Ogier
346,Ogier Stonemason,{2}{G},Creature — Ogier,2/4,Common,G,Reach.,Ogier hands raised the great cities. Men have spent Ages failing to copy them.,Reach,Ogier,Ogier Stonemason — Ogier from the Wheel of Time,"Painterly fantasy, dramatic light",Ogier
347,Ogier Treesinger,{2}{G},Creature — Ogier Druid,1/3,Uncommon,G,"{T}: Add {G}. Whenever you weave, you gain 1 life.",,,"Ogier,Ramp,Weaving",Ogier Treesinger — Ogier Druid from the Wheel of Time,"Painterly fantasy, dramatic light",Ogier
348,Pack Leader,{1}{G},Creature — Wolf,2/2,Uncommon,G,Other Wolves you control get +1/+0. {G}: Create a 1/1 green Wolf token.,Alpha of the wild places.,,"Wolf,Synergy,Token",,,
349,Pack Tactics,{2}{G},Sorcery,,Common,G,Create two 1/1 green Wolf tokens. They get +1/+1 for each other creature you control.,The pack is strongest together.,,"Token,Synergy",Pack of wolves working as one unit,"Unified, primal",Token/Synergy
350,Perrin's Pack,{2}{G}{G},Sorcery,,Common,G,"Create two 1/1 green Wolf tokens. Whenever you cast a green spell this turn, creatures you control get +1/+1.",The pack answers the call.,,"Token,Synergy",,,
351,Prepare for Battle,{1}{G},Instant,,Common,G,Target creature gets +1/+1 and vigilance until end of turn.,"The warrior stance, ready always.",,"Pump,Vigilance","Creature standing ready, muscles tensed","Strong, alert",Pump/Green
352,Primal Alpha,{2}{G},Creature — Aiel Wolf,3/2,Uncommon,G,Trample. Other Wolves get +1/+1 and trample. {G}: Create a 1/1 green Wolf token.,The pack's heartbeat.,Trample,"Wolf,Synergy,Token",,,
353,Primal Instinct,{1}{G},Creature — Aiel Warrior,2/2,Uncommon,G,"Trample. Whenever a land enters under your control, Primal Instinct gets +1/+0 until end of turn.",The desert instinct guides.,Trample,"Aiel,Synergy,Ramp",,,
354,Shadowstalker Wolf,{2}{G},Creature — Wolf,3/2,Uncommon,G,"Vigilance. Shadowstalker Wolf gets +1/+1 as long as an opponent controls a Shadowspawn, Trolloc, Fade, or Forsaken.",,Vigilance,"Wolf,Anathema",Shadowstalker Wolf — Wolf from the Wheel of Time,"Painterly fantasy, dramatic light",Wolf
355,"Someshta, the Green Man",{3}{G}{G},Legendary Creature — Nym,5/7,Rare,G,"Vigilance. When Someshta enters, put a +1/+1 counter on each other creature you control. When Someshta dies, destroy target Forsaken or Shadowspawn.",The last Nym gave his life as he gave everything else: growing things.,Vigilance,Counters,"Someshta, the Green Man — Nym from the Wheel of Time","Painterly fantasy, dramatic light",Counters
356,"Sorilea, Keeper of Traditions",{2}{G},Legendary Creature — Aiel Wise One,1/4,Uncommon,G,Other Wise Ones you control get +1/+1. {T}: Add {G}{G}. Spend this mana only to cast Channeler spells.,Weak in the Power. Strong in every other way that matters.,,"Channeler,Ramp","Sorilea, Keeper of Traditions — Aiel Wise One from the Wheel of Time","Painterly fantasy, dramatic light",Channeler
357,Spear Takedown,{1}{G},Instant,,Common,G,Target creature you control fights target creature an opponent controls.,,,Removal,Spear Takedown — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
358,Springrun Wolf,{G},Creature — Wolf,2/1,Common,G,,Wolves remember. It is men who forget.,,Wolf,Springrun Wolf — Wolf from the Wheel of Time,"Painterly fantasy, dramatic light",Wolf
359,Stedding Warden,{3}{G},Creature — Ogier,2/5,Uncommon,G,Ward {1}. Other Ogier you control have ward {1}.,,Ward,"Ogier,Protection",Stedding Warden — Ogier from the Wheel of Time,"Painterly fantasy, dramatic light",Ogier
360,Tuatha'an Peacekeeper,{2}{G},Creature — Human Nomad,0/4,Common,G,Creatures attacking you get -1/-0.,The Way of the Leaf bends. It does not break.,,Defense,Tuatha'an Peacekeeper — Human Nomad from the Wheel of Time,"Painterly fantasy, dramatic light",Defense
361,Two Rivers Longbowman,{2}{G},Creature — Human Archer,1/3,Common,G,Reach. {T}: Two Rivers Longbowman deals 1 damage to target creature with flying.,No one who has seen the Two Rivers longbow loosed forgets it.,Reach,"Archer,Removal",Two Rivers Longbowman — Human Archer from the Wheel of Time,"Painterly fantasy, dramatic light",Archer
362,Two Rivers Woodsman,{1}{G},Creature — Human Archer,2/2,Common,G,Reach.,,Reach,Archer,Two Rivers Woodsman — Human Archer from the Wheel of Time,"Painterly fantasy, dramatic light",Archer
363,Verdant Growth,{2}{G},Sorcery,,Common,G,Search your library for a basic land and put it onto the battlefield. Shuffle.,Nature provides for those who understand.,,Ramp,Green growth bursting from earth,"Fertile, vital",Ramp/Green
364,Waygate Guardian,{1}{G},Creature — Ogier,0/5,Uncommon,G,Defender. {T}: Add one mana of any color.,,Defender,"Ramp,Ogier",Waygate Guardian — Ogier from the Wheel of Time,"Painterly fantasy, dramatic light",Ramp
365,Wisdom's Cure,{1}{G},Instant,,Common,G,Target creature gains indestructible until end of turn. Untap it.,Nature's healing runs deep.,,Protection,Creature healing and reforming naturally,"Vital, renewing",Protection/Green
366,Wise One Apprentice,{1}{G},Creature — Aiel Wise One Channeler,1/2,Common,G,"When Wise One Apprentice enters, weave.",,,"Weaving,Channeler",Wise One Apprentice — Aiel Wise One Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
367,Wise One Elder,{2}{G},Creature — Aiel Wise One,2/3,Uncommon,G,"{G}{G}: Create a 1/1 green Aiel token. Whenever a land enters under your control, Wise One gets +1/+0 until end of turn.",The Wise Ones hold ancient knowledge.,,"Wise One,Female,Token,Ramp",Aiel woman radiating natural power,"Wise, grounded",Wise One/Ramp
368,Wise One's Gathering,{1}{G}{G},Sorcery,,Rare,G,"Search your library for a Wise One creature and a land card, put the creature on the battlefield and the land into your hand. Shuffle.",The Wise Ones gather.,,"Wise One,Tutor,Ramp",,,
369,Wise One's Knowledge,{2}{G}{G},Enchantment,,Uncommon,G,"Whenever you cast a green spell, you may gain 1 life. Whenever a land enters, put a +1/+1 counter on target creature.",Ancient wisdom flows eternal.,,"Synergy,Gain Life",,,
370,Wise One's Ward,{1}{G},Instant,,Rare,G,Target creature gets +2/+2 and gains hexproof until end of turn. Weave.,,,"Weaving,Protection",Wise One's Ward — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
371,Wolf Packmate,{1}{G},Creature — Wolf,2/2,Common,G,"When Wolf Packmate enters, if you control another Wolf, put a +1/+1 counter on it.",,,Wolf,Wolf Packmate — Wolf from the Wheel of Time,"Painterly fantasy, dramatic light",Wolf
372,Wolf's Companion,{1}{G},Creature — Wolf,2/2,Common,G,"Whenever another creature enters under your control, Wolf's Companion gets +1/+0 until end of turn.",The pack shares strength.,,"Wolf,Synergy",,,
373,Wolfhound Companion,{2}{G},Creature — Wolf,1/1,Common,G,"When Wolfhound Companion enters, create a 1/1 green Wolf creature token.",The wild remembers those who honor it.,,Token,Wolf materializing from forest mist,"Natural, wild",Token/Green
374,Wolfkin Pack,{1}{G},Creature — Wolf,2/2,Common,G,"Whenever another Wolf or creature enters under your control, Wolfkin Pack gets +1/+1 until end of turn.",The wolves remember their kin.,,"Synergy,Wolf","Pack of lean wolves, wild and untamed","Primal, powerful",Synergy/Green
375,Wolfkin Warrior,{1}{G},Creature — Aiel Warrior,2/2,Uncommon,G,"Whenever another Wolf enters, Wolfkin gets +1/+0 until end of turn. {G}: Create a 1/1 green Wolf token.",The pack is strength.,,"Aiel,Wolf,Synergy,Token",,,
376,Aes Sedai Convocation,{W}{U},Sorcery,,Rare,WU,"Create a 2/2 white Aes Sedai token and a 2/2 blue Aes Sedai token. If you control three or more Aes Sedai, those tokens gets +1/+1 and flying.",The Tower convenes.,,"Token,Aes Sedai,Female,Synergy",,,
377,Aes Sedai Portal,{W}{U},Enchantment,,Rare,WU,"Whenever you weave, create a 1/1 white Aes Sedai token. {W}{U}: All Aes Sedai creatures gain flying until end of turn.",Access between places.,,"Weaving,Token,Aes Sedai,Flying",,,
378,"Aginor, Father of Shadowspawn",{3}{R}{G},Legendary Creature — Forsaken,4/4,Rare,RG,"Other Shadowspawn, Trollocs, Darkhounds, and Fades you control get +1/+1. At the beginning of your end step, create a 2/2 black Trolloc creature token with menace.",In the Age of Legends he was a biologist. His creations still hunt the night.,"Menace, Trample","Tribal,Token",Woman wreathed in wild power,"Fierce, ambitious",Mythic/Forsaken
379,Aiel Pride,{1}{R}{G},Sorcery,,Uncommon,RG,"Create two 1/1 red Aiel Warrior tokens with haste. If you control three or more Aiel, those tokens get +1/+1 and menace.",The Aiel stand proud.,,"Aiel,Token,Synergy,Menace",,,
380,Aiel Warriors' Bond,{1}{R}{G},Sorcery,,Common,RG,Create two 1/1 red Aiel Warrior tokens with haste. They get +1/+1 for each other creature you control.,The spear bonds them.,,"Token,Aiel,Synergy",,,
381,Aiel's Fury,{1}{R}{G},Sorcery,,Rare,RG,Create three 1/1 red Aiel Warrior tokens with haste and trample. Discard a card at the beginning of your end step.,The Aiel fury knows no bounds.,,"Aiel,Token,Trample,Haste",,,
382,Aiel's Might,{1}{R}{G},Sorcery,,Uncommon,RG,Create two 1/1 red Aiel Warrior tokens with haste. Put a +1/+1 counter on each creature you control.,The desert provides strength.,,"Aiel,Token,Haste,Pump,Synergy",,,
383,"Amys, Wise One Dreamwalker",{1}{G}{U},Legendary Creature — Aiel Wise One,2/3,Uncommon,GU,"At the beginning of your upkeep, scry 1. Whenever you scry, put a +1/+1 counter on target Wise One or other Channeler you control.",,,"Channeler,Scry","Amys, Wise One Dreamwalker — Aiel Wise One from the Wheel of Time","Painterly fantasy, dramatic light",Channeler
384,"Aran'gar, Reborn in Shadow",{1}{B}{R},Legendary Creature — Forsaken,4/2,Rare,BR,"Whenever you cast a black or red spell, each opponent discards a card. Aran'gar has lifelink. {B}{R}: Aran'gar gets +1/+1 until end of turn.",Madness born of love's corruption.,,"Legendary,Forsaken,Discard,Synergy",Dark figure wreathed in shadowy power,"Corrupted, dangerous",Legendary/Forsaken
385,"Asmodean, Reluctant Teacher",{1}{U}{R},Legendary Creature — Forsaken Channeler,2/3,Rare,UR,{T}: Weave. Channeler spells you cast cost {1} less to cast.,"The Forsaken who taught the Dragon Reborn — not from loyalty, but from nowhere left to run.",,"Weaving,CostReduction,Forsaken","Asmodean, Reluctant Teacher — Forsaken Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Weaving
386,"Aviendha, Maiden of the Spear",{1}{R}{G},Legendary Creature — Aiel Warrior,3/2,Rare,RG,"First strike. Whenever Aviendha attacks, she gets +1/+0 until end of turn for each other attacking creature.",The desert teaches the hard way.,,"Legendary,Aiel,Female,Synergy,Token","Aiel warrior standing tall, proud and fierce","Fierce, natural",Rare/Aiel
387,"Balthamel, the Leering Mask",{2}{R}{G},Legendary Creature — Forsaken,4/3,Rare,RG,"Menace. Whenever Balthamel attacks, defending player discards a card. Balthamel never speaks — he can't be the target of counterspells.",Madness and obsession intertwined.,,Forsaken,Man filled with twisted hunger and power,"Manic, unstable",Rare/Forsaken
388,Banner-Sergeant of the Band,{1}{R}{W},Creature — Human Soldier,3/2,Uncommon,WR,"Whenever Banner-Sergeant of the Band attacks, other attacking Soldiers get +1/+0 until end of turn.",,,"Soldier,Combat",Banner-Sergeant of the Band — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
389,"Be'lal, the Envious",{1}{U}{B},Legendary Creature — Forsaken Channeler,3/3,Rare,UB,"Flash. When Be'lal enters, counter target instant or sorcery spell unless its controller pays {3}.",He planned for decades. Balefire took seconds.,Flash,"Forsaken,Counter","Be'lal, the Envious — Forsaken Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Forsaken
390,Birgitte Silverbow,{1}{W}{R},Legendary Creature — Human Archer,2/2,Uncommon,WR,"Reach, first strike. Whenever Birgitte attacks, she deals 1 damage to up to one target creature. {W}{R}: Birgitte gets +1/+0 until end of turn.",The Archer rides eternal through the Wheel.,,"Legendary,Female,Token,Synergy","Woman with bow and arrows, golden light surrounding her","Ethereal, heroic",Rare/Female
391,Blight-Touched Stalker,{1}{B}{G},Creature — Shadowspawn Beast,3/3,Uncommon,BG,"Deathtouch. When Blight-Touched Stalker dies, each opponent loses 2 life.",,Deathtouch,Aggro,Blight-Touched Stalker — Shadowspawn Beast from the Wheel of Time,"Painterly fantasy, dramatic light",Aggro
392,Bonds of Power,{2}{W}{U},Sorcery,,Rare,UW,Create two 1/1 blue Aes Sedai creature tokens and a 1/1 white Aes Sedai creature token. Weave.,The Tower's strength is unity.,,"Token,Aes Sedai,Synergy",,,
393,Cadsuane Melaidhrin,{2}{G}{W},Legendary Creature — Human Aes Sedai,3/4,Rare,GW,"Ward {2}. Other Channelers you control have ward {1}. When Cadsuane enters, tap up to two target creatures.",Her ornaments have unraveled more weaves than most sisters have ever made.,Ward,"Channeler,Protection",Cadsuane Melaidhrin — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Channeler
394,Callandor Ritual,{2}{W}{U},Sorcery,,Rare,WU,"Search your library for an Aes Sedai card and an Asha'man card, reveal them, put them into your hand, then shuffle. Weave.",Three must work as one.,,"Callandor,Weaving,Tutor",,,
395,Callandor's Three,{2}{W}{U}{G},Sorcery,,Mythic,WUG,"Search your library for a card named Callandor, Sword of Light, put it onto the battlefield, then shuffle. You gain 5 life. Aes Sedai creatures you control get +2/+2 until end of turn.",Three joined in perfect harmony.,,"Callandor,Tutor",,,
396,Channeler's Bond,{U}{G},Enchantment,,Uncommon,UG,"Whenever you cast a spell, if you control a Channeler, put a +1/+1 counter on target creature. Whenever a Channeler deals damage, you draw a card.",The One Power binds all.,,"Channeler,Synergy,Draw",,,
397,Channeler's Fury,{2}{B}{R},Sorcery,,Uncommon,RB,"Create a 2/2 black Shadowspawn creature token with haste. Leash target creature with mana value 2 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",Power without control is destruction.,,"Leash,Token",,,
398,Channeler's Resolve,{W}{U},Sorcery,,Uncommon,UW,Create a 1/1 blue Aes Sedai token and a 1/1 white Aes Sedai token. Weave.,The Channelers stand strong together.,,"Token,Aes Sedai,Weaving",,,
399,Channeling Through the Pattern,{1}{W}{U},Enchantment,,Rare,UW,"Whenever a Channeler enters under your control, draw a card. Whenever you weave, put a +1/+1 counter on each Channeler you control.",The One Power flows through all things.,,"Channeler,Weaving,Draw,Synergy",,,
400,Circle of Two,{G}{W},Creature — Human Aes Sedai,2/3,Uncommon,GW,"Ward {1}. When Circle of Two enters, weave. (A Warder's strength, a sister's flows.)",,Ward,"Weaving,Channeler",Circle of Two — Human Aes Sedai from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
401,Compulsion,{2}{U}{B},Sorcery,,Rare,UB,Gain control of target creature with mana value 3 or less. (This effect doesn't end.),Graendal's favorite weave leaves no bruises — only devotion.,,Control,Compulsion — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Control
402,Court-Bard of Cairhien,{1}{U}{R},Creature — Human Bard,2/2,Uncommon,UR,"Whenever you weave, Court-Bard of Cairhien deals 1 damage to each opponent. This ability triggers only once each turn.",,,"Weaving,Burn",Court-Bard of Cairhien — Human Bard from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
403,"Davram Bashere, Marshal-General",{1}{R}{W},Legendary Creature — Human Soldier,3/2,Uncommon,WR,Haste. Other attacking creatures you control get +1/+0.,Saldaea rides where Bashere points.,Haste,Combat,"Davram Bashere, Marshal-General — Human Soldier from the Wheel of Time","Painterly fantasy, dramatic light",Combat
404,"Demandred, the General of Shadows",{2}{B}{R},Legendary Creature — Forsaken Channeler,5/4,Mythic,BR,"Menace. When Demandred enters, other creatures you control get +2/+0 and gain haste until end of turn. Whenever Demandred attacks, he deals 2 damage to any target.","'Where is Lews Therin?' Every battle, the same question, asked with armies.",Menace,"Combat,Forsaken","Demandred, the General of Shadows — Forsaken Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Combat
405,"Dobraine, Lord of Cairhien",{1}{W}{R},Legendary Creature — Human Noble,3/3,Uncommon,WR,"Whenever a legendary creature enters under your control, Dobraine gets +1/+1 until end of turn. {W}{R}: Creatures you control gain first strike until end of turn.",The Game plays in Cairhien's halls.,,"Legendary,Synergy,Noble",Nobleman with both red and white authority,"Authoritative, skilled",Rare/Noble
406,"Eamon Valda, the Usurper",{1}{W}{B},Legendary Creature — Human Whitecloak Knight,3/2,Rare,WB,"First strike. Whenever Eamon Valda attacks, each opponent loses 1 life and you gain 1 life. Anathema — Valda gets +2/+0 as long as an opponent controls a Channeler.","The Light's justice, as Valda saw it, always required a sword.",First strike,"Whitecloak,Anathema","Eamon Valda, the Usurper — Human Whitecloak Knight from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
407,"Egeanin Tamarath, Ship Captain",{1}{W}{U},Legendary Creature — Human Soldier,2/2,Uncommon,WU,"When Egeanin enters, gain control of target Equipment, then you may attach it to her.",She threw an a'dam into the harbor and her old life after it.,,Equipment,"Egeanin Tamarath, Ship Captain — Human Soldier from the Wheel of Time","Painterly fantasy, dramatic light",Equipment
408,"Egwene al'Vere, Amyrlin Seat",{2}{W}{U},Legendary Creature — Human Aes Sedai,2/4,Rare,UW,"Whenever you weave, draw a card, then discard a card. {U}{W}: Tap target creature. Weave. {3}{U}{W}: Create a 1/1 white Aes Sedai token.",She became what she had to be.,,"Legendary,Weaving,Female",Strong woman in white and blue robes,"Authoritative, serene",Legendary/Female
409,Eternal Bond,{1}{W}{G},Enchantment,,Uncommon,WG,"Whenever a creature enters under your control, put a +1/+1 counter on target other creature. If that creature is a Warder or Wise One, put two +1/+1 counters instead.",Some bonds transcend life itself.,,"Synergy,Growth",,,
410,"Faile Bashere, the Falcon",{R}{W},Legendary Creature — Human Noble Warrior,2/2,Uncommon,WR,"First strike. Whenever Faile attacks, another target attacking creature gets +1/+1 and gains first strike until end of turn.",,First strike,Combat,"Faile Bashere, the Falcon — Human Noble Warrior from the Wheel of Time","Painterly fantasy, dramatic light",Combat
411,Forsaken Blessing,{B}{R},Sorcery,,Uncommon,BR,Create a 2/2 black Shadowspawn token with haste. Each opponent loses 2 life.,Power granted by the Shadow.,,"Token,Shadowspawn,Haste,Drain",,,
412,Forsaken Graendal,{3}{U}{B},Legendary Creature — Forsaken,4/4,Mythic,UB,"At the beginning of your upkeep, each opponent discards a card. Whenever a creature enters under your control, target opponent loses 2 life. {U}{B}{U}{B}: Graendal gains hexproof until end of turn.",All pleasure serves my design.,,"Legendary,Forsaken,Female,Drain,Discard",Beautiful but sinister woman surrounded by worshipers,"Seductive, controlling",Mythic/Forsaken
413,Forsaken Pact,{B}{R},Enchantment,,Uncommon,RB,"Whenever you leash a creature, create a 2/2 red Forsaken token. Whenever you cast a red or black spell, target opponent loses 1 life.",Power through dark service.,,"Leash,Token,Forsaken,Drain",,,
414,Forsaken Semirhage,{3}{B}{R},Creature — Forsaken Avatar,5/4,Uncommon,BR,"Menace. Whenever you leash a creature, Semirhage gets +1/+0 until end of turn. {B}{R}: Semirhage gains indestructible until end of turn.",Pain is my greatest art.,Menace,"Forsaken,Leash,Evasion",Menacing shadow figure with dark aura,"Fearsome, cruel",Forsaken/Control
415,Forsaken's Glory,{3}{B}{R},Sorcery,,Rare,BR,"Create a 3/3 black Shadowspawn creature token with menace. Leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",The Forsaken rise to power.,,"Leash,Token",,,
416,"Galad Damodred, Sworn to the Light // Galad, Lord Captain Commander",{1}{W}{W},Legendary Creature — Human Whitecloak Knight // Legendary Creature — Human Whitecloak Noble,3/3 // 4/4,Mythic,WB,"First strike. Galad Damodred can't be blocked by Channelers. Trial Beneath the Light — {1}{W}: Galad fights target creature an opponent controls. Activate only as a sorcery. Whenever a creature dealt damage by Galad this turn dies, transform him. ---- First strike, lifelink. Other Whitecloaks you control get +1/+1. Whenever Galad attacks, each opponent loses 1 life and you gain 1 life. (Back face color indicator: white and black.)","He does what is right, no matter the cost. // He took command the only way he does anything: because it was right.","Transform, First strike, Lifelink","Whitecloak,Transform,Anathema","Front: a strikingly handsome young knight in a pristine white cloak with golden sunburst, sword raised in formal duel. Back: the same man crowned Lord Captain Commander, cloak spattered but eyes clear.","Painterly fantasy, dawn light breaking through storm clouds",Whitecloak
417,"Gawyn Trakand, First Prince",{1}{W}{R},Legendary Creature — Human Knight,3/1,Uncommon,WR,"First strike, haste. Gawyn attacks each combat if able. Whenever Gawyn attacks, he gets +1/+0 until end of turn for each other attacking creature.",Courage he never lacked. Judgment came harder.,"First strike, Haste",Combat,"Gawyn Trakand, First Prince — Human Knight from the Wheel of Time","Painterly fantasy, dramatic light",Combat
418,Hand of the Light,{1}{W}{B},Enchantment,,Uncommon,WB,"Whenever an opponent weaves, that player loses 1 life.",The Questioners do not believe the One Power exists. They believe in punishing it anyway.,,"Whitecloak,Anathema,Hate",Hand of the Light — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Whitecloak
419,"Jaichim Carridin, Hand of the Shadow",{1}{W}{B},Legendary Creature — Human Whitecloak Cleric,2/3,Rare,WB,"{T}: Each opponent discards a card. If you control a Shadowspawn, Forsaken, or Darkfriend, draw a card.",Bors kneels to the Great Lord. Carridin kneels to the Light. Both of them are lying.,,"Whitecloak,Discard","Jaichim Carridin, Hand of the Shadow — Human Whitecloak Cleric from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
420,"Jaret Byar, Zealous Lieutenant",{W}{B},Legendary Creature — Human Whitecloak Soldier,2/1,Uncommon,WB,"Jaret Byar can't block. Whenever Byar attacks, target creature an opponent controls gets -1/-1 until end of turn.",Zeal is a blade with no hilt.,,"Whitecloak,Combat","Jaret Byar, Zealous Lieutenant — Human Whitecloak Soldier from the Wheel of Time","Painterly fantasy, dramatic light",Whitecloak
421,"Lan Mandragoran, the Uncrowned",{2}{G}{W},Legendary Creature — Human Warder Warrior,4/4,Mythic,GW,"First strike, vigilance. As long as you control an Aes Sedai, Lan has hexproof and gets +1/+1. Whenever Lan attacks alone, he gains double strike until end of turn.",Tai'shar Malkier! The Golden Crane flies for the Last Battle.,"First strike, Vigilance","Warder,Combat","Lan Mandragoran, the Uncrowned — Human Warder Warrior from the Wheel of Time","Painterly fantasy, dramatic light",Warder
422,"Lanfear, Daughter of the Night",{2}{U}{B},Legendary Creature — Human Forsaken,4/3,Rare,UB,"Can't be blocked. Whenever Lanfear deals combat damage to a player, draw a card, then discard a card. Whenever you leash a creature, Lanfear gets +1/+0 until end of turn.",Love and hate are two sides of the same coin.,,"Legendary,Female,Forsaken,Leash,Evasion",Beautiful but menacing woman with dark power,"Seductive, dangerous",Legendary/Forsaken
423,Last Battle,{3}{W}{R},Sorcery,,Rare,WR,"Creatures you control get +2/+0 and gain first strike until end of turn. Then if you control ten or more creatures, you win the game at the beginning of the next end step.",The final confrontation.,,"WinCon,Combat",,,
424,Last Stand,{1}{W}{R},Creature — Human Soldier,3/3,Uncommon,WR,"When Last Stand enters, create a 2/2 white Soldier token. Whenever Last Stand attacks, it gets +1/+0 until end of turn for each other creature that attacked.",The final line of defense.,,"Soldier,Synergy,Token",,,
425,Leash Bearer,{2}{U}{B},Creature — Human,2/2,Rare,UB,"Whenever you leash a creature, create a 1/1 blue Damane creature token. {1}{U}{B}, {T}: Leash target creature with mana value 3 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",One who holds the leash controls.,,"Leash,Token",,,
426,Leash Master,{3}{U}{B},Creature — Human,3/3,Rare,UB,"Whenever you leash a creature, create a 1/1 blue Damane creature token. {2}{U}{B}: Leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",The master of chains.,,"Leash,Token",,,
427,Leash of Chains,{1}{U}{B},Enchantment — Aura,,Uncommon,UB,"Enchant creature. You control enchanted creature. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or sacrifice Leash of Chains and it can't be leashed again until your next turn.",Control through bonds.,,"Leash,Aura",,,
428,Leash of Dominion,{2}{U}{B},Instant,,Uncommon,UB,"Leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) It must attack this turn if able.",Your will is no longer your own.,,Leash,Dark chains binding creature to new master,"Enslaving, controlling",Leash/Control
429,Leash Unbreakable,{2}{U}{B},Enchantment,,Rare,UB,"The first leash cost you pay each turn costs {2} less. Whenever you leash a creature, create a 1/1 blue Damane creature token.",Control is permanent.,,"Leash,Token",,,
430,Leash's Cost,{2}{U}{B},Sorcery,,Rare,UB,"Leash target creature. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.) Leashed creatures you control get +1/+1.",Control has a price.,,Leash,,,
431,"Lews Therin Telamon, Kinslayer",{2}{W}{U}{R},Legendary Creature — Human Channeler,5/5,Mythic,WUR,"Whenever you weave, Lews Therin gets +1/+0 until end of turn. {T}: Weave twice. Then if you've woven ten or more times, Lews Therin deals 2 damage to you and each opponent.","The Dragon before the Dragon, and the madness before the dawn.",,"Weaving,Channeler","Lews Therin Telamon, Kinslayer — Human Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Weaving
432,"Machin Shin, the Black Wind",{3}{U}{B},Legendary Creature — Elemental Horror,4/4,Mythic,UB,"Flying. Whenever Machin Shin attacks, defending player discards a card and loses 2 life. Machin Shin can't be blocked as long as defending player has no cards in hand.","It whispers in a thousand voices, and every one of them is hungry.",Flying,Discard,"Machin Shin, the Black Wind — Elemental Horror from the Wheel of Time","Painterly fantasy, dramatic light",Discard
433,Master of Leashes,{U}{B},Creature — Human Channeler,2/2,Uncommon,UB,"Whenever you leash a creature, create a 1/1 blue Damane creature token.",Control is power made manifest.,,"Synergy,Leash,Token",Seanchan figure controlling multiple leashes,"Dominating, powerful",Leash/Synergy
